U+1F644	🙄	\xf0\x9f\x99\x84	FACE WITH ROLLING EYES
U+1F645	🙅	\xf0\x9f\x99\x85	FACE WITH NO GOOD GESTURE
U+1F646	🙆	\xf0\x9f\x99\x86	FACE WITH OK GESTURE
U+1F647	🙇	\xf0\x9f\x99\x87	PERSON BOWING DEEPLY
U+1F648	🙈	\xf0\x9f\x99\x88	SEE-NO-EVIL MONKEY
U+1F649	🙉	\xf0\x9f\x99\x89	HEAR-NO-EVIL MONKEY
U+1F64A	🙊	\xf0\x9f\x99\x8a	SPEAK-NO-EVIL MONKEY
U+1F64B	🙋	\xf0\x9f\x99\x8b	HAPPY PERSON RAISING ONE HAND
U+1F64C	🙌	\xf0\x9f\x99\x8c	PERSON RAISING BOTH HANDS IN CELEBRATION
U+1F64D	🙍	\xf0\x9f\x99\x8d	PERSON FROWNING
U+1F64E	🙎	\xf0\x9f\x99\x8e	PERSON WITH POUTING FACE
U+1F64F	🙏	\xf0\x9f\x99\x8f	PERSON WITH FOLDED HANDS
U+1F650	🙐	\xf0\x9f\x99\x90	NORTH WEST POINTING LEAF
U+1F651	🙑	\xf0\x9f\x99\x91	SOUTH WEST POINTING LEAF
U+1F652	🙒	\xf0\x9f\x99\x92	NORTH EAST POINTING LEAF
U+1F653	🙓	\xf0\x9f\x99\x93	SOUTH EAST POINTING LEAF
U+1F654	🙔	\xf0\x9f\x99\x94	TURNED NORTH WEST POINTING LEAF
U+1F655	🙕	\xf0\x9f\x99\x95	TURNED SOUTH WEST POINTING LEAF
U+1F656	🙖	\xf0\x9f\x99\x96	TURNED NORTH EAST POINTING LEAF
U+1F657	🙗	\xf0\x9f\x99\x97	TURNED SOUTH EAST POINTING LEAF
U+1F658	🙘	\xf0\x9f\x99\x98	NORTH WEST POINTING VINE LEAF
U+1F659	🙙	\xf0\x9f\x99\x99	SOUTH WEST POINTING VINE LEAF
U+1F65A	🙚	\xf0\x9f\x99\x9a	NORTH EAST POINTING VINE LEAF
U+1F65B	🙛	\xf0\x9f\x99\x9b	SOUTH EAST POINTING VINE LEAF
U+1F65C	🙜	\xf0\x9f\x99\x9c	HEAVY NORTH WEST POINTING VINE LEAF
U+1F65D	🙝	\xf0\x9f\x99\x9d	HEAVY SOUTH WEST POINTING VINE LEAF
U+1F65E	🙞	\xf0\x9f\x99\x9e	HEAVY NORTH EAST POINTING VINE LEAF
U+1F65F	🙟	\xf0\x9f\x99\x9f	HEAVY SOUTH EAST POINTING VINE LEAF
U+1F660	🙠	\xf0\x9f\x99\xa0	NORTH WEST POINTING BUD
